"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"El Dorado County","CA","18.0","20.9","4.4","32.0","93.2","15627","40712","2.2","4236","1.3","4.0","1.0","12.7","0.2","3.6","89.8","78.7","74.8","67885","88866","359500","2.64","11.8","69297","34884","9.0","190","8.7","1707.88","12.5","85.5","6622","28.8","49.9","16792","181058","183087","1.1","106.0","3017","3636","16197","9216","0.0","2.4","0.0","6.5","0.0","21265","26.9"
"Fresno County","CA","11.2","28.9","8.3","19.6","73.1","49304","239776","2.0","15973","3.0","10.7","5.9","51.9","0.3","3.0","77.2","30.9","53.8","289811","324126","195400","3.18","25.9","45563","20208","26.0","1892","21.9","5957.99","43.7","83.6","78272","22.1","50.1","42944","930450","965974","3.8","156.2","11471","78467","98082","11022","0.0","11.3","3.9","21.4","0.0","58745","29.4"
"Glenn County","CA","14.9","26.7","7.0","14.6","72.3","1353","4574","0.1","453","2.9","3.0","1.2","40.4","0.2","2.7","90.0","53.0","63.1","9628","10917","217700","2.87","13.3","43023","22148","18.8","30","17.2","1313.95","36.1","86.6","2782","21.8","49.6","1514","28122","27955","-0.6","21.4","309","1484","2039","7320","0.0","0.0","0.0","16.6","0.0","1903","26.1"
"Humboldt County","CA","15.4","19.5","5.4","27.5","90.4","11071","32396","0.2","3169","6.2","2.8","1.4","10.8","0.3","5.4","84.0","75.5","55.9","53296","62348","288300","2.44","19.9","41426","23540","20.4","234","5.7","3567.99","9.7","81.2","8770","17.5","50.0","10437","134623","134809","0.1","37.7","2090","0","17263","13428","2.9","0.0","0.0","0.0","0.0","14689","26.9"
"Imperial County","CA","12.0","28.5","8.3","13.3","64.5","9691","31319","3.9","2419","2.6","2.3","3.5","82.3","0.2","1.7","89.7","12.3","56.4","48099","56972","147300","3.42","21.3","41807","16763","23.3","246","32.3","4176.6","74.5","84.0","12078","20.8","48.9","6405","174528","179091","2.6","41.8","1677","0","17272","10771","2.6","0.0","2.6","52.2","0.0","10129","28.8"
"Inyo County","CA","21.4","20.6","6.0","21.4","88.1","1298","5085","-2.4","525","12.8","1.6","1.0","20.9","0.1","3.1","81.4","64.3","64.1","7873","9513","236100","2.3","11.0","44796","27441","12.8","7","10.4","10180.88","14.9","88.2","0","14.8","49.9","1720","18546","18410","-0.7","1.8","916","0","2419","13876","0.0","0.0","0.0","0.0","0.0","1709","0.0"
"Kern County","CA","9.9","29.4","8.4","15.0","72.4","43515","195927","3.1","12344","2.6","5.0","6.3","51.5","0.3","3.0","82.7","36.2","58.0","255271","291454","161700","3.19","18.5","48552","20295","22.9","2297","20.6","8131.92","42.1","80.4","94562","23.6","48.7","44753","839631","874589","4.2","103.3","9403","57305","78760","10037","2.3","0.0","4.4","24.0","0.2","53051","31.4"
"Kings County","CA","9.1","27.5","7.9","12.9","71.0","4180","23441","0.6","1575","3.0","4.4","7.3","53.2","0.3","3.6","81.3","33.7","51.8","40785","44864","176900","3.28","19.7","48133","18429","21.0","434","20.1","1389.42","42.8","81.1","21077","21.4","44.8","10609","152982","150269","-1.8","110.1","3600","0","10359","7017","1.1","6.8","0.0","27.1","0.0","6194","35.0"
"Lake County","CA","20.6","20.4","5.8","16.2","85.4","3929","9233","1.0","1032","4.1","1.4","2.1","19.1","0.3","4.5","87.7","72.1","62.7","26505","35657","183600","2.38","7.7","36548","21537","25.0","45","8.6","1256.46","14.2","80.7","0","27.5","50.0","6777","64665","64184","-0.7","51.5","680","0","5579","8630","0.0","0.0","0.9","0.0","0.0","4961","31.6"
"Lassen County","CA","12.5","17.0","4.5","13.1","79.4","1031","3947","12.5","409","4.2","1.4","8.8","18.5","0.6","3.4","81.6","66.0","62.9","9945","12741","185500","2.36","13.4","53107","19931","16.9","6","7.0","4541.18","17.7","71.1","0","19.4","36.3","3119","34895","31749","-9.0","7.7","296","0","2604","7440","0.0","0.0","0.0","0.0","0.0","1829","20.3"
"Los Angeles County","CA","12.2","22.8","6.4","29.7","76.6","945941","3799831","3.8","253227","1.5","14.8","9.2","48.4","0.4","2.9","71.3","26.8","46.9","3230383","3482516","420200","3.01","42.2","55909","27749","17.8","17659","35.1","4057.88","56.8","86.4","1533437","29.3","50.7","331642","9818605","10116705","3.0","2419.6","202381","1984358","1191118","12236","1.4","17.5","5.7","21.6","0.3","1046940","30.2"
"Madera County","CA","12.8","27.6","7.5","13.6","68.5","6970","25438","2.6","1883","4.5","2.5","4.3","56.1","0.3","2.4","86.0","35.8","60.8","42516","49891","182000","3.37","10.6","45625","17847","22.8","214","21.5","2137.07","44.1","87.4","14529","25.5","51.9","8266","150865","154548","2.4","70.6","1250","3531","10102","6956","0.0","5.1","0.0","23.7","0.0","9543","26.3"
"Marin County","CA","19.4","20.5","4.8","54.6","92.4","36468","98110","4.0","9654","1.1","6.1","2.9","16.0","0.3","3.7","86.0","72.2","62.8","102912","112295","781900","2.39","26.9","90839","56791","7.7","390","19.0","520.31","23.0","85.0","3972","28.6","51.2","15439","252409","260750","3.3","485.1","6265","23730","45893","18648","0.0","0.0","0.9","0.0","0.0","42712","33.9"
"Mariposa County","CA","24.5","16.7","4.4","21.3","87.7","1232","3246","-1.8","349","3.4","1.4","1.1","10.3","0.2","3.8","90.1","81.4","71.6","7238","10329","235000","2.36","5.9","49820","26988","16.1","24","4.7","1448.82","8.6","87.4","0","32.0","49.2","2153","18251","17682","-3.1","12.6","1329","0","845","4705","0.0","0.0","0.0","0.0","0.0","1437","0.0"
"Mendocino County","CA","18.9","21.9","6.2","22.0","85.2","8223","22157","2.6","2466","6.3","2.2","1.0","24.1","0.3","4.0","86.3","66.2","58.2","33878","40718","323600","2.52","12.5","43469","23306","20.0","109","12.5","3506.34","21.2","84.2","7734","18.6","50.2","6798","87841","87869","0.0","25.1","1942","0","12590","14716","1.9","0.0","0.3","0.0","0.0","11015","27.6"
"Merced County","CA","10.5","30.0","8.1","12.6","66.7","10521","41183","1.1","2852","2.5","8.1","4.2","57.5","0.4","3.0","82.0","29.5","53.6","75409","84167","146400","3.36","17.3","42591","18177","25.4","169","25.6","1934.97","52.5","82.2","39542","26.3","49.5","11102","255793","266353","4.1","132.2","2194","0","20012","8233","0.0","9.1","2.6","24.8","0.0","12639","30.2"
"Modoc County","CA","23.2","20.1","4.7","18.7","84.8","555","1228","-7.3","158","5.1","1.2","1.2","14.8","0.3","3.2","88.9","77.6","68.8","3983","5238","164100","2.23","4.8","36212","21200","21.0","8","7.1","3917.77","12.8","84.7","0","16.9","49.5","996","9686","9023","-6.8","2.5","87","0","530","5827","0.0","0.0","0.0","0.0","0.0","893","0.0"
"Mono County","CA","11.8","19.5","5.0","29.8","83.8","1346","6264","12.5","562","2.9","1.8","0.8","27.9","0.3","2.7","91.6","65.8","55.6","5268","14002","344500","2.65","45.3","61757","28046","8.5","29","17.0","3048.98","22.4","75.1","0","16.2","46.7","850","14202","13997","-1.4","4.7","2173","0","1543","12032","0.0","0.0","0.0","0.0","0.0","2137","21.3"
"Monterey County","CA","12.0","26.4","7.7","23.0","71.0","23865","101020","1.9","8408","2.7","6.9","3.5","57.4","0.6","3.7","82.6","31.2","49.7","125428","140144","362400","3.2","26.5","59168","24775","17.0","361","29.9","3280.6","52.6","84.1","22276","22.5","49.0","21572","415057","431344","3.9","126.5","11970","0","45411","11293","1.3","7.5","2.4","21.8","0.0","31711","32.5"
"Napa County","CA","16.8","21.8","5.4","31.3","83.1","11274","58272","1.9","4043","1.2","8.1","2.4","33.7","0.4","3.2","84.8","53.7","60.6","49431","55317","428600","2.69","19.7","70443","34795","10.1","147","22.4","748.36","35.0","86.0","45293","23.6","50.3","9410","136484","141667","3.8","182.4","6203","0","16650","12619","1.3","5.4","0.0","10.3","0.0","12794","31.1"
"Nevada County","CA","23.4","17.8","4.2","32.3","94.3","11651","26259","3.1","2966","1.2","1.4","0.6","9.2","0.2","3.0","93.6","85.6","72.6","40991","53080","357300","2.38","10.1","57353","32346","12.0","290","6.0","957.77","7.7","86.2","6646","24.6","50.8","10085","98764","98893","0.1","103.1","1994","0","10771","11111","0.0","0.0","0.0","0.0","0.0","14492","28.7"
"Orange County","CA","13.1","23.0","6.1","36.8","83.8","278270","1381148","2.4","89496","1.1","19.6","2.1","34.3","0.4","3.3","73.5","42.0","58.7","995512","1072011","519600","3.02","34.2","75422","34057","12.4","9291","30.4","790.57","45.5","84.9","491319","26.3","50.6","131229","3010232","3145515","4.5","3807.7","82478","979636","450225","15221","1.0","19.2","1.3","12.4","0.3","329380","28.4"
"Placer County","CA","17.8","22.9","5.4","35.1","93.6","29974","129592","3.2","9707","1.1","7.1","1.7","13.5","0.2","4.0","85.9","74.2","70.6","132709","157446","342000","2.66","16.7","72725","34886","8.7","1990","10.6","1407.01","15.0","85.1","30234","26.9","51.2","29780","348432","371694","6.7","247.6","7736","38986","61800","18622","0.0","6.6","1.2","5.3","0.0","36890","28.3"
"Plumas County","CA","24.7","17.2","4.4","22.6","89.9","1529","3656","-2.0","593","3.2","1.1","1.2","8.4","0.1","3.5","90.9","84.0","69.7","8997","15692","243700","2.13","6.0","45794","29806","15.2","32","5.1","2553.04","9.7","85.9","1305","22.9","49.8","2276","20007","18606","-7.0","7.8","300","0","1752","8506","0.0","0.0","0.0","0.0","0.0","2277","23.0"
"Riverside County","CA","13.2","26.3","6.8","20.5","79.6","152801","493307","3.4","34773","1.9","6.8","7.0","47.4","0.4","3.4","80.5","37.4","66.5","683144","819936","231000","3.21","16.3","56529","23591","16.2","6761","21.9","7206.48","39.9","82.8","136235","32.0","50.3","135139","2189641","2329271","6.4","303.8","48353","169122","241464","11745","0.0","8.0","5.2","24.0","0.0","163248","30.4"
"Sacramento County","CA","12.8","24.4","6.7","28.0","85.9","95166","428475","5.5","27571","1.5","15.8","10.9","22.5","1.2","6.0","64.6","46.6","56.7","517243","561842","234200","2.72","26.7","55064","26739","17.6","1761","19.9","964.64","31.2","79.8","72828","25.7","51.1","94398","1418788","1482026","4.5","1470.8","22528","157280","155999","11357","1.2","14.9","6.4","8.5","0.3","108950","32.1"
"San Benito County","CA","11.4","26.8","6.7","18.2","76.9","3307","10161","7.2","927","3.1","3.5","1.3","58.3","0.4","3.3","88.4","36.0","61.6","16995","18113","343000","3.28","13.6","66237","25914","11.9","105","20.1","1388.71","38.6","83.1","6303","30.2","49.8","2715","55269","58267","5.4","39.8","501","3196","3529","6475","0.0","0.0","0.0","0.0","0.0","3652","30.3"
"San Bernardino County","CA","10.3","27.2","7.3","18.7","78.2","135455","538336","3.4","32426","2.0","7.3","9.5","51.7","0.5","3.4","77.3","30.6","61.9","603879","708297","222300","3.33","19.8","54090","21332","18.7","3405","21.1","20056.94","41.1","82.7","189073","29.9","50.2","104576","2035210","2112619","3.8","101.5","27546","275799","217174","10897","0.0","11.5","7.9","27.7","0.3","151888","30.6"
"San Diego County","CA","12.7","22.3","6.6","34.6","85.5","246649","1181133","2.0","78379","1.3","11.9","5.6","33.2","0.6","4.3","76.3","46.7","53.8","1076483","1187625","402100","2.83","35.8","62962","30668","14.4","6875","23.4","4206.63","37.4","83.9","275410","24.4","49.8","234211","3095313","3263431","5.4","735.8","95515","337049","387106","13009","1.3","10.0","2.9","15.2","0.3","291124","29.9"
"San Francisco County","CA","14.4","13.4","4.6","52.4","86.3","89078","542366","3.8","32360","0.8","34.9","5.8","15.3","0.5","4.2","53.8","41.2","36.6","345344","386564","744600","2.31","67.7","75604","48486","13.5","2711","35.6","46.87","45.0","84.1","20774","30.5","49.1","29478","805235","852469","5.9","17179.1","50391","105621","123999","15516","0.0","24.0","2.7","6.6","0.2","105030","30.1"
"San Joaquin County","CA","11.8","27.8","7.3","18.1","77.3","34735","166252","2.2","10668","2.0","15.9","8.1","40.5","0.7","5.2","68.1","34.0","58.3","215563","237542","208000","3.14","17.9","53380","22589","18.2","1265","23.1","1391.32","39.9","81.7","82724","29.4","50.2","35277","685306","715597","4.4","492.6","7458","90013","71096","10687","0.0","16.2","5.7","17.4","0.4","41137","31.0"
"San Luis Obispo County","CA","17.5","18.1","4.8","31.5","89.6","23558","86125","2.7","7873","1.4","3.8","2.2","22.0","0.2","3.4","89.0","69.5","58.4","102154","119143","426600","2.5","18.4","58697","29954","14.3","983","10.4","3298.57","18.0","78.9","25482","21.1","49.1","21244","269637","279083","3.5","81.7","7678","9550","35484","13559","1.1","3.6","0.0","7.9","0.0","29920","27.7"
"San Mateo County","CA","14.7","21.5","6.1","44.4","88.6","63460","347658","4.4","20342","0.9","27.7","3.0","25.3","1.6","4.4","62.5","40.4","59.4","257941","273539","722200","2.79","33.2","88202","45732","7.6","1461","34.0","448.41","46.0","87.6","179182","25.7","50.8","32332","718451","758581","5.6","1602.2","21071","126077","101988","14625","0.9","18.6","1.6","11.7","0.5","74604","29.9"
"Santa Barbara County","CA","14.0","22.4","6.4","31.3","79.1","32058","137623","2.5","11211","2.2","5.7","2.4","44.4","0.2","3.5","85.9","45.9","52.6","141720","154401","453000","2.89","29.6","62779","30352","16.0","755","23.4","2735.09","40.2","79.0","31741","19.4","49.9","26102","423895","440668","3.9","155.0","13614","40235","49833","12443","1.1","5.9","0.0","13.9","0.0","39834","28.3"
"Santa Clara County","CA","12.2","23.1","6.5","46.5","86.5","128730","926766","3.5","46212","1.3","34.9","2.9","26.6","0.5","4.0","56.4","33.3","57.5","609377","651156","645600","2.92","33.0","91702","41513","10.2","9932","37.1","1290.1","51.2","84.5","450887","25.0","49.7","66749","1781642","1894605","6.3","1381.0","41475","606440","264914","15367","1.0","28.5","0.0","10.8","0.4","156084","29.7"
"Santa Cruz County","CA","13.5","20.1","5.6","37.0","84.9","23649","70493","2.9","6779","1.8","4.8","1.4","33.2","0.2","4.1","87.7","58.2","58.8","93504","105275","557500","2.72","20.4","66519","32295","14.6","291","18.3","445.17","31.0","84.1","15024","25.4","50.4","12471","262382","271804","3.6","589.4","5138","0","37253","14894","0.0","4.8","0.0","0.0","0.0","29122","34.2"
"Shasta County","CA","19.2","21.6","5.8","18.8","88.4","11542","47159","1.5","4126","3.1","3.0","1.1","9.4","0.2","4.2","88.5","80.9","64.2","68980","77915","220000","2.54","16.0","44651","23670","17.5","242","5.2","3775.4","8.7","82.4","6629","20.1","51.0","17765","177223","179804","1.5","46.9","2809","8290","25264","14088","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Sierra County","CA","26.8","15.7","3.3","18.5","89.4","235","198","22.2","67","1.9","0.5","0.4","9.7","0.1","2.3","94.8","86.2","77.8","1253","2341","231400","2.45","4.2","39009","24996","19.4","4","7.1","953.21","9.4","93.6","0","27.5","50.0","440","3240","3003","-7.3","3.4","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Siskiyou County","CA","22.7","20.3","5.4","23.9","89.0","3249","8222","1.2","1075","4.7","1.3","1.4","11.9","0.3","5.0","87.2","77.5","62.7","19417","24106","200800","2.26","13.4","37709","22293","21.0","19","5.4","6277.89","9.7","82.8","2578","18.8","50.3","4744","44900","43628","-2.8","7.2","785","1690","4033","9120","0.0","0.0","0.0","5.2","0.0","4549","29.3"
"Solano County","CA","13.5","22.9","6.0","24.3","87.2","21658","103470","3.6","6677","1.3","15.6","14.8","25.6","1.0","6.7","60.6","39.6","61.7","141464","154981","262400","2.85","21.9","67177","28929","13.0","646","20.1","821.77","29.6","82.0","83773","28.9","50.3","34948","413344","431131","4.3","503.0","5732","0","48279","11892","1.4","15.5","8.9","11.3","0.0","27428","30.9"
"Sonoma County","CA","16.7","20.6","5.3","32.2","86.7","43454","152105","2.9","13370","2.2","4.3","1.9","26.1","0.4","3.8","87.4","64.6","60.1","185660","207232","407400","2.57","19.1","63356","32835","11.9","663","16.6","1575.85","25.5","85.3","58418","25.3","51.0","33151","483878","500292","3.4","307.1","10054","39535","64271","13929","1.0","0.0","0.0","7.8","0.0","52458","30.4"
"Stanislaus County","CA","12.1","27.3","7.3","16.4","76.4","25939","128728","2.3","8516","1.9","5.9","3.3","44.1","0.9","3.9","84.1","44.3","58.1","166883","180278","172900","3.07","16.8","49297","21663","20.3","454","20.5","1494.83","40.7","81.4","94759","26.6","50.5","25311","514453","531997","3.4","344.2","6151","37590","56619","11180","1.4","8.6","2.6","16.2","0.0","31324","30.0"
"Sutter County","CA","14.5","26.4","6.7","18.7","78.3","5193","19962","4.2","1696","2.3","16.5","2.5","29.9","0.4","4.3","74.0","47.8","59.6","31725","34096","188500","2.95","19.1","50408","23602","16.7","79","22.7","602.41","37.0","82.0","4948","27.4","50.3","6740","94737","95847","1.2","157.3","1006","8790","10653","11644","0.0","0.0","0.0","0.0","0.0","6625","28.2"
"Tehama County","CA","17.8","24.0","6.2","13.5","81.1","3232","11381","2.6","956","3.4","1.4","1.0","24.1","0.2","3.4","90.7","69.4","67.5","23374","27239","177100","2.66","9.4","41924","20439","19.7","78","8.9","2949.71","18.8","81.6","5567","23.3","50.2","5608","63463","63067","-0.6","21.5","560","0","7353","12103","0.0","0.0","0.0","0.0","0.0","4272","32.0"
"Trinity County","CA","24.0","16.9","4.9","21.3","91.3","970","1477","6.1","253","5.3","0.9","0.5","7.3","0.2","5.2","87.9","82.6","71.2","5668","8784","257400","2.35","5.0","36890","22905","19.2","30","3.4","3179.25","7.2","87.2","0","18.3","49.0","1648","13786","13170","-4.5","4.3","146","0","691","4966","0.0","0.0","0.0","0.0","0.0","1481","0.0"
"Tulare County","CA","10.4","31.6","8.9","13.3","68.0","19668","88795","2.0","6142","2.8","4.0","2.2","62.9","0.2","2.4","88.3","30.3","57.5","131642","145503","163100","3.35","14.4","42708","17894","26.2","1092","22.8","4824.22","49.2","84.9","50159","21.3","49.9","18289","442179","458198","3.6","91.7","3794","0","39008","9373","1.9","0.0","1.4","26.1","0.0","24881","27.2"
"Tuolumne County","CA","23.5","16.8","4.2","19.5","89.1","4033","12223","2.4","1289","2.2","1.3","2.1","11.5","0.2","3.3","90.8","81.1","69.9","22025","31361","269400","2.31","8.4","48426","25943","14.5","55","4.8","2220.88","7.6","84.8","2225","25.1","47.8","5375","55365","53831","-2.8","24.9","865","0","5824","10460","0.0","0.0","0.0","0.0","0.0","5706","0.0"
"Ventura County","CA","13.6","24.2","6.4","31.4","82.8","64224","247116","2.6","20089","1.9","7.5","2.2","42.0","0.3","3.3","84.8","46.6","64.9","267076","284504","442200","3.06","21.1","76544","32930","11.1","1314","22.8","1843.13","37.8","86.5","87690","24.6","50.5","47834","823318","846178","2.8","446.7","14781","0","110836","14036","1.6","7.0","1.3","15.0","0.0","80179","28.8"
"Yolo County","CA","11.5","21.7","5.8","37.9","84.3","11858","60719","1.4","3878","1.8","13.8","3.0","31.5","0.6","5.0","75.9","48.3","52.9","70347","76720","314300","2.76","30.6","55918","27730","19.1","218","21.7","1014.69","34.7","76.0","18533","21.6","51.3","10321","200849","207590","3.4","197.9","8403","64836","17657","9106","0.0","10.5","0.0","11.2","0.0","14782","29.9"
"Yuba County","CA","11.4","27.8","8.1","13.7","79.0","3141","9130","4.9","820","3.0","7.3","4.0","27.2","0.5","5.9","79.4","56.6","59.1","24300","28015","171000","2.93","18.5","44902","19244","21.6","201","12.3","631.84","24.7","76.3","1699","29.5","49.2","6420","72155","73966","2.5","114.2","524","0","4235","5908","0.0","0.0","0.0","11.0","0.0","4111","41.6"
"Adams County","CO","9.6","27.7","7.6","20.9","81.4","28546","137849","3.0","8559","2.1","4.1","3.7","38.8","0.2","2.9","87.0","51.9","65.6","152803","166243","186600","2.93","23.9","56270","24195","14.2","1115","14.9","1167.65","28.4","82.4","61615","28.4","49.6","27662","441603","480718","8.8","378.2","5780","111933","48489","11556","0.0","3.8","1.6","14.0","0.0","32777","29.8"
"Alamosa County","CO","12.6","23.9","7.7","24.2","84.7","1096","5383","-2.7","475","5.5","1.6","1.9","45.5","0.3","3.0","87.8","49.5","61.5","5891","6684","137300","2.51","17.5","34520","19487","26.5","52","6.7","722.64","22.6","78.6","0","15.0","49.6","1121","15445","16177","4.7","21.4","302","853","2629","17193","0.0","0.0","0.0","19.4","0.0","1341","25.4"
"Arapahoe County","CO","11.9","24.5","6.5","38.8","91.4","50623","259423","5.3","17284","1.1","5.6","10.9","18.8","0.2","3.7","78.3","62.1","62.7","225552","243745","230700","2.58","34.4","60651","32595","12.1","1897","14.9","798.1","22.1","80.6","20429","26.9","50.7","42954","572003","618821","8.2","716.7","10085","57741","99319","18277","0.8","5.2","4.1","6.2","0.1","61951","28.4"
"Archuleta County","CO","22.9","18.3","4.9","32.9","91.7","1892","2965","8.1","490","3.3","1.1","0.5","18.6","0.1","2.4","92.7","76.9","73.7","4881","8943","279700","2.45","12.6","48933","29793","9.7","75","3.3","1350.18","10.7","87.7","0","19.6","49.9","1162","12084","12244","1.3","8.9","331","87","1426","11435","0.0","0.0","0.0","0.0","0.0","2521","17.4"
