"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Crawford County","IN","20.1","21.7","5.6","10.3","80.4","635","0.5","0.2","0.7","1.6","0.1","1.4","97.1","96.0","82.6","3835","5569","91900","2.73","41662","22443","0.2","305.64","1.2","93.1","-1","34.7","49.1","831","10526","10713","35.1","-1","89894","697","165","393","0","676","49","601"
"Crawford County","KS","15.8","21.8","6.0","29.9","92.1","2100","1.2","1.9","2.4","6.1","0.4","2.7","91.4","86.0","59.4","15284","18245","93900","2.42","41004","23091","3.6","589.76","5.8","78.2","823365","16.9","50.1","1990","38972","39134","66.4","59173","406100","2515","771","1261","122","2168","203","2084"
"Crawford County","MI","25.8","18.1","5.0","19.4","89.9","904","0.8","0.8","0.9","2.2","0.0","1.5","96.0","94.1","81.2","6141","11258","105000","2.23","47977","26294","1.9","556.28","2.4","86.6","184199","22.3","48.9","1440","12988","14074","25.3","22580","214568","926","178","505","0","793","79","706"
"Crawford County","MO","20.1","22.5","5.7","11.5","77.9","1540","0.7","0.3","0.5","2.1","0.1","1.6","96.8","95.0","71.4","9578","12102","124700","2.47","44438","22220","1.0","742.52","1.8","84.5","345010","27.1","50.3","1895","23056","24696","33.3","23915","205031","1826","411","1100","72","1714","278","1484"
"Crawford County","OH","21.4","21.6","5.7","14.4","90.2","2148","0.3","0.6","1.1","1.8","0.1","1.3","96.6","95.0","69.7","17782","19996","88400","2.32","44971","25744","1.3","401.79","2.0","87.0","1045897","22.3","51.2","3096","42025","43784","109.0","41632","348926","3417","849","1867","67","3209","249","2820"
"Crawford County","PA","21.2","20.4","5.5","21.1","89.0","5396","0.2","0.6","2.0","1.4","0.0","1.3","95.8","94.6","72.9","35164","45002","113200","2.34","50304","26582","1.3","1012.3","5.5","88.2","1759240","22.1","51.0","6011","83938","88765","87.7","102834","973472","7628","1397","5288","101","7219","745","6354"
"Crawford County","WI","24.0","20.0","4.8","18.4","91.3","1072","0.4","0.6","2.2","1.8","0.0","1.2","95.5","94.0","75.7","6654","9026","134200","2.32","50595","27615","0.9","570.66","2.8","88.1","1054179","22.2","48.1","1179","16113","16644","29.2","27648","216620","1349","398","553","0","1281","67","1173"
"Creek County","OK","18.2","23.4","6.0","17.0","87.4","4943","10.8","0.7","2.3","4.6","0.1","7.2","78.9","75.4","73.6","26427","30771","122700","2.67","51318","26044","2.0","950.14","3.2","90.6","1649914","24.8","50.5","4974","71754","69967","73.6","-1","570523","6059","2006","2827","910","4787","656","5113"
"Crenshaw County","AL","19.4","22.8","5.7","17.4","79.2","874","0.7","1.1","23.9","2.4","0.0","2.1","72.2","70.3","75.5","4943","6862","81000","2.77","43163","24563","1.4","608.84","2.0","93.5","-1","29.9","51.5","709","13194","13906","22.8","-1","72731","923","309","529","191","708","142","755"
"Crisp County","GA","19.3","23.9","6.3","14.1","82.8","1489","0.3","1.3","44.8","3.8","0.1","1.4","52.2","49.2","54.5","8585","10811","83100","2.6","36042","22933","2.2","272.58","4.4","87.3","426880","20.8","52.6","1078","20128","23439","86.0","-1","303544","2432","828","1270","1016","1237","251","1912"
"Crittenden County","AR","14.5","27.1","7.7","17.4","82.6","3734","0.4","0.6","54.5","2.8","0.1","1.4","43.0","40.9","57.4","19074","21818","114600","2.52","40161","23172","1.8","609.76","2.9","81.4","849032","20.3","52.5","2318","48163","50902","83.5","82841","813336","4395","1918","2033","2072","2174","411","3695"
"Crittenden County","KY","21.3","22.0","5.4","13.1","83.8","663","0.4","0.2","1.1","1.2","0.1","1.2","97.0","96.0","81.9","3567","4587","89900","2.46","45244","23959","0.8","359.95","6.4","92.3","-1","26.9","49.6","612","8990","9315","25.9","5301","58761","784","241","372","0","757","80","655"
"Crockett County","TN","19.2","23.3","5.8","13.8","81.2","904","0.8","0.4","14.1","11.0","0.0","2.1","82.7","73.5","71.6","5491","6430","99600","2.58","44717","23771","4.3","265.54","8.5","91.4","127920","24.0","52.4","807","13911","14586","54.9","-1","78499","984","278","633","85","875","77","842"
"Crockett County","TX","17.7","24.8","5.9","14.0","77.0","320","2.4","1.0","1.6","66.0","0.1","1.3","93.6","31.3","73.9","1354","1887","89600","2.52","47386","26178","8.2","2807.33","49.9","93.4","-1","29.0","49.8","165","3098","3719","1.3","14235","72851","517","144","296","199","299","71","426"
"Crook County","OR","25.2","19.8","5.6","19.8","90.0","1626","1.7","0.7","0.5","7.6","0.1","2.3","94.7","88.0","72.2","9588","11196","246100","2.39","49006","27007","3.0","2979.09","5.9","84.1","150808","27.9","50.4","2556","24738","20978","7.0","23669","184179","1907","514","993","87","1731","167","1609"
"Crook County","WY","21.1","24.7","7.3","22.3","92.7","765","1.0","0.2","1.4","2.5","0.0","1.1","96.2","94.0","81.8","2919","3671","225300","2.53","65132","29532","1.8","2854.41","3.5","90.9","-1","26.3","49.4","692","7181","7083","2.5","8500","39559","688","189","314","56","613","110","554"
"Crosby County","TX","18.9","26.1","6.2","13.2","76.0","347","1.1","0.3","4.0","56.6","0.1","1.9","92.5","38.9","75.3","2061","2908","60800","2.79","40759","19443","4.2","900.2","34.7","84.5","-1","22.7","50.4","218","5133","6059","6.7","-1","35845","391","66","245","57","308","51","313"
"Cross County","AR","19.3","23.2","6.1","14.4","83.6","1349","0.4","0.8","23.2","2.0","0.0","1.6","74.0","72.3","66.8","6653","7971","86100","2.49","46787","25380","0.3","616.38","0.4","83.3","238845","24.8","51.4","976","16833","17870","29.0","14269","180768","1610","635","839","423","1118","216","1315"
"Crow Wing County","MN","23.0","21.3","5.4","24.7","94.1","5182","1.0","0.5","0.9","1.5","0.0","1.7","95.9","94.7","76.5","26820","42644","198300","2.36","56549","32368","1.3","999.1","2.0","87.6","496631","21.8","50.3","5252","66123","62500","62.6","169511","1124967","6450","1808","3188","91","6109","799","5170"
"Crowley County","CO","14.0","11.4","2.4","9.0","86.1","188","3.4","1.2","10.7","32.8","0.0","2.2","82.5","52.6","72.5","1301","1601","79400","3.69","42135","15517","3.4","787.42","11.1","88.0","-1","21.4","26.5","439","5922","5823","7.4","759","16987","247","94","128","0","211","0","231"
"Culberson County","TX","22.1","22.4","6.6","10.2","66.3","208","2.5","2.1","1.8","72.9","0.0","2.9","90.6","21.7","66.7","580","1175","62400","3.76","37900","15109","13.6","3812.8","62.9","87.1","-1","12.4","50.1","94","2188","2398","0.6","9521","136661","220","64","123","136","76","0","190"
"Cullman County","AL","18.8","22.5","6.2","13.9","81.6","5989","0.6","0.7","1.4","4.5","0.1","1.4","95.7","91.7","74.8","31034","38252","128600","2.63","44918","23468","2.6","734.84","4.0","89.6","1880798","26.5","50.6","5150","87866","80406","109.4","111212","896368","6433","1546","4016","219","6014","798","5349"
"Culpeper County","VA","16.0","24.7","6.5","25.7","86.1","3758","0.8","1.7","14.6","11.6","0.2","3.3","79.4","69.8","72.7","17071","19239","298900","2.91","77935","32028","8.8","379.23","12.4","87.2","563583","38.2","50.1","3795","52552","46689","123.1","59342","550139","4073","1406","2078","477","3331","363","3369"
"Cumberland County","IL","20.4","22.2","5.8","15.4","90.6","723","0.2","0.6","0.5","1.1","0.1","1.0","97.5","96.6","78.7","4299","4868","105800","2.49","56206","27812","1.0","346.02","1.4","88.4","-1","22.8","50.2","662","10450","11048","31.9","-1","38617","712","241","372","49","640","29","662"
"Cumberland County","KY","22.8","21.0","5.7","13.3","81.8","559","0.2","0.2","2.9","1.5","-1.0","2.0","94.7","93.4","72.9","2616","3671","89400","2.53","35344","18728","1.2","305.18","3.7","88.0","30779","20.1","51.2","422","5888","6856","22.5","-1","45996","595","185","308","0","548","66","489"
"Cumberland County","ME","19.0","18.3","4.7","47.6","95.1","30346","0.4","2.4","3.2","2.2","0.0","2.0","92.0","90.1","69.3","120644","147039","278100","2.35","73072","40527","6.1","835.24","7.3","86.1","-1","23.1","51.6","16950","303069","281674","337.2","839928","5751358","35012","11282","19600","1463","32060","3631","29134"
"Cumberland County","NC","12.2","24.7","7.5","25.5","91.0","18982","1.9","2.7","39.1","12.1","0.4","4.8","51.1","42.4","50.7","125427","147313","135300","2.53","46875","24936","6.4","652.32","11.6","77.9","3827013","21.4","50.4","43164","334728","319431","489.7","629426","4374210","21117","8867","10155","8774","11540","3095","16822"
"Cumberland County","NJ","15.6","23.7","6.1","15.6","79.4","6139","1.6","1.4","21.9","31.8","0.2","3.1","71.7","45.4","65.2","50729","56451","162500","2.74","54149","25694","10.0","483.7","27.8","87.1","2811963","23.6","49.1","6495","154152","156898","324.4","173701","2049003","8322","2245","5083","2388","5504","807","7018"
"Cumberland County","PA","18.8","20.2","5.4","36.6","92.3","16700","0.2","4.8","4.7","4.3","0.1","2.2","88.0","84.6","70.3","99804","107909","202900","2.37","71269","37500","6.2","545.46","9.3","85.1","3776427","22.5","50.5","18124","259469","235406","431.6","465023","4812854","19169","6262","10769","1431","16936","2010","16033"
"Cumberland County","TN","31.2","17.2","4.5","18.5","85.8","4499","0.5","0.6","0.7","3.1","0.1","1.2","96.9","94.2","77.6","25801","30706","153200","2.27","45958","25832","1.8","681.03","3.2","83.4","678006","22.9","51.2","6431","61145","56053","82.3","101244","750308","5414","1634","3145","207","4950","652","4427"
"Cumberland County","VA","23.1","18.9","4.6","14.9","83.5","537","0.8","0.5","30.5","3.2","0.0","2.4","65.8","63.5","73.9","3975","4760","146000","2.46","47469","25138","1.0","297.46","3.5","94.4","-1","44.8","51.6","798","9675","10052","33.8","1361","40387","426","154","239","48","361","60","348"
"Cuming County","NE","22.4","24.3","6.6","23.8","88.4","753","0.9","0.5","0.5","10.3","0.0","1.2","96.8","87.6","69.7","3727","4266","122200","2.36","56768","29765","5.4","570.62","8.6","93.2","245806","16.3","49.9","521","9013","9139","16.0","15446","205974","903","195","489","47","818","55","779"
"Currituck County","NC","16.4","21.9","5.6","23.5","90.5","2226","0.7","0.8","5.8","4.4","0.1","2.1","90.5","86.9","82.0","10522","16436","257200","2.49","69964","31849","1.9","261.85","4.2","88.2","-1","36.2","50.2","3102","28100","23547","89.9","-1","275248","2426","604","1429","117","2266","328","1908"
"Curry County","NM","12.8","26.2","7.9","19.2","81.9","1921","2.1","1.8","6.9","43.4","0.2","3.2","85.6","46.5","57.0","18548","21493","125000","2.63","45092","23021","9.7","1404.8","27.7","79.2","-1","15.6","48.2","4403","48430","48376","34.4","78203","624379","2344","812","1097","631","1535","278","1797"
"Curry County","OR","35.0","14.2","3.8","24.6","90.3","1876","2.6","0.8","0.5","7.4","0.2","4.0","91.8","85.7","71.4","10546","13069","265400","2.12","48440","30021","3.3","1627.46","5.7","82.4","175970","15.6","50.9","2973","23446","22364","13.7","46467","244642","2477","753","1119","167","2196","250","2041"
"Custer County","CO","33.0","13.8","3.5","32.5","93.6","719","1.2","0.5","1.6","5.8","0.0","2.1","94.6","89.7","87.2","2214","4495","281900","2.15","53119","29258","3.1","738.63","5.6","91.0","-1","31.3","48.3","717","4704","4255","5.8","3179","48594","633","142","282","0","614","48","485"
"Custer County","ID","30.1","17.2","4.7","24.4","89.4","464","1.0","0.3","0.6","4.6","0.0","2.2","95.9","91.8","78.6","1774","3161","191600","2.29","40875","23805","0.6","4920.94","1.9","87.2","-1","18.3","48.9","539","4275","4368","0.9","-1","39421","433","137","196","0","405","68","335"
"Custer County","MT","20.7","20.7","5.8","24.6","92.0","878","2.3","0.7","0.6","3.7","0.1","2.3","94.1","91.1","68.8","4903","5702","170400","2.3","52965","30504","1.0","3783.36","2.5","84.4","-1","12.5","50.1","925","11867","11699","3.1","28523","256660","1058","344","478","26","961","125","778"
"Custer County","NE","22.7","24.1","6.4","24.0","93.4","1169","0.7","0.3","0.6","3.5","0.0","1.1","97.4","94.2","69.6","4862","5671","108100","2.2","52184","33561","2.1","2575.52","4.0","89.3","-1","15.8","50.2","803","10545","10939","4.2","10714","143360","1254","416","548","0","1177","106","1069"
"Custer County","OK","14.1","24.8","6.8","24.8","87.7","2289","8.0","1.3","3.3","18.9","0.1","4.2","83.2","67.5","62.6","10653","12738","142500","2.58","49900","26520","7.4","988.82","15.7","79.0","429815","19.5","50.3","1501","28513","27469","27.8","61280","530851","2634","572","1519","247","2183","254","2115"
"Custer County","SD","31.7","14.8","3.8","23.5","93.6","931","3.8","0.6","0.6","4.4","0.0","2.2","92.8","89.2","84.0","3876","5322","214400","2.15","58522","33649","3.2","1557.0","4.6","86.4","-1","26.2","50.5","1182","8318","8216","5.3","31113","68126","1128","340","567","107","981","155","819"
"Cuyahoga County","OH","18.6","20.6","5.7","32.5","89.8","97290","0.3","3.4","30.5","6.3","0.0","2.3","63.5","58.6","58.2","540965","617249","132800","2.25","50366","33114","7.6","457.19","12.2","84.8","24399438","24.3","52.3","64881","1264817","1280122","2800.0","2738645","15072450","114192","42859","61483","30216","79802","11003","97913"
"Dade County","GA","20.1","19.2","4.9","15.2","80.7","1064","0.6","1.1","1.4","2.3","0.1","1.5","95.3","93.3","71.5","6195","7329","123500","2.4","42581","24000","2.1","173.98","3.3","86.0","-1","26.4","50.9","903","16251","16633","95.6","-1","184585","1498","391","847","56","1334","101","1229"
"Dade County","MO","23.9","20.8","4.9","12.7","87.2","502","1.0","0.6","0.5","2.3","0.0","2.8","95.1","93.2","76.8","3068","3956","83500","2.41","40399","23186","1.5","490.01","3.3","84.9","64646","25.4","48.9","674","7569","7883","16.1","2605","37736","579","178","264","0","551","27","479"
"Daggett County","UT","27.3","22.5","4.3","13.4","94.0","82","1.5","0.5","0.2","4.4","0.1","2.3","95.4","92.2","87.1","163","1230","170800","3.09","75417","29574","0.0","696.98","3.4","90.8","-1","14.0","42.5","22","935","1059","1.5","5057","-1","77","0","68","0","75","0","58"
"Dakota County","MN","14.7","24.3","6.4","42.2","95.1","30500","0.6","5.2","7.5","7.6","0.1","3.0","83.6","77.1","74.0","161488","169967","266000","2.59","86036","41552","9.7","562.17","13.0","87.0","17442945","24.9","50.6","22125","439882","398552","709.0","762132","6485623","36935","12400","20104","4207","31341","3489","31752"
"Dakota County","NE","13.9","29.1","8.8","13.0","76.5","1074","4.1","3.8","6.7","39.3","0.6","2.5","82.3","46.3","65.2","7404","7898","119600","2.69","59231","25269","25.7","264.26","42.8","91.0","-1","15.3","49.2","879","21582","21006","79.5","25059","198738","1349","414","706","238","1033","120","1123"
"Dale County","AL","17.3","22.8","6.7","18.1","86.1","2650","0.9","1.5","21.0","7.0","0.2","2.8","73.8","68.0","60.1","18806","23201","112000","2.55","47214","24645","3.5","561.15","6.2","81.7","110162","21.6","50.8","5793","49326","50251","89.6","54607","323453","2712","1102","1315","594","1997","363","2128"
"Dallam County","TX","11.8","31.9","9.7","15.8","70.4","543","2.3","1.0","2.6","47.6","0.1","1.6","92.3","47.7","64.4","2364","2977","89200","3.07","58811","27491","24.3","1503.26","43.6","78.1","-1","14.0","47.4","363","7115","6703","4.5","13821","89825","574","91","366","100","455","91","436"
"Dallas County","AL","18.9","23.3","5.9","14.7","81.8","2126","0.3","0.4","70.7","1.2","0.0","0.9","27.6","27.0","59.3","15910","20460","83300","2.42","33845","19612","1.3","978.7","1.4","88.8","1309877","23.8","53.8","1807","38462","43820","44.8","36082","413111","2726","1066","1378","1409","1134","305","2206"
"Dallas County","AR","24.4","21.0","5.3","11.9","83.9","342","0.7","0.3","40.5","3.9","0.1","2.0","56.5","53.2","67.7","2969","4348","70400","2.21","38072","20517","0.2","667.39","1.7","84.1","194190","24.3","50.5","453","6482","8116","12.2","4684","71755","594","148","360","69","502","88","460"
"Dallas County","IA","12.1","27.4","7.4","50.4","95.6","6881","0.3","5.0","2.6","6.3","0.1","1.7","90.2","84.6","73.7","34399","38984","248100","2.52","88479","45090","8.2","588.45","11.1","84.0","740163","21.0","50.7","4082","99678","66135","112.4","148022","1270527","6362","1811","3511","255","5662","459","5348"
"Dallas County","MO","20.8","23.7","6.6","12.9","83.4","1441","1.0","0.4","0.4","2.2","0.1","1.9","96.2","94.2","76.1","6209","7682","115000","2.64","43542","23647","1.6","540.77","5.5","91.5","-1","30.2","50.5","1430","17071","16777","31.0","9909","134780","1570","482","850","26","1512","125","1417"
"Dallas County","TX","11.1","25.8","7.3","31.5","79.3","252821","1.1","6.7","23.6","40.8","0.1","2.0","66.6","28.3","50.0","928341","1041775","174900","2.78","59607","32653","24.7","871.28","43.5","84.5","37035625","27.7","50.7","91155","2613539","2368139","2718.0","6753112","35957895","259298","96076","139455","127961","122666","22942","225505"
"Dane County","WI","14.2","20.2","5.5","51.4","95.8","39043","0.5","6.3","5.5","6.5","0.1","2.7","84.9","79.2","58.2","222929","239841","265600","2.34","73893","40614","8.8","1197.24","11.1","81.2","7205303","21.1","50.3","23162","561504","488073","407.7","1111208","8516190","44853","15314","23323","4303","38659","3876","38342"
"Daniels County","MT","28.3","20.8","4.8","24.0","95.3","126","2.7","0.2","0.4","3.2","-1.0","2.5","94.2","91.8","78.4","857","1130","126500","1.99","57440","35133","3.0","1426.11","1.8","95.1","-1","11.9","48.6","128","1661","1751","1.2","-1","51376","278","88","179","0","263","0","266"
"Danville city","VA","20.3","21.8","5.9","17.6","81.8","-1","0.1","1.2","49.4","4.3","0.1","3.2","45.5","42.4","51.5","18293","-1","90500","2.16","37203","22826","3.5","42.93","5.2","86.3","1702978","18.1","54.0","2915","42590","43055","1002.8","120407","964972","3073","1225","1290","1118","1679","266","2465"
"Dare County","NC","22.2","18.7","4.4","34.7","94.2","5470","0.6","0.9","2.8","7.7","0.1","1.9","93.8","87.0","74.4","15529","35263","289000","2.32","59381","34578","5.2","383.42","8.2","87.7","47840","21.1","50.9","3304","36915","33920","88.5","-1","863879","6113","1501","3284","362","5575","467","5282"
"Darke County","OH","19.9","23.6","6.2","15.8","90.8","3520","0.3","0.5","0.7","1.7","0.0","1.3","97.2","95.8","72.8","20861","23037","123300","2.44","55620","27855","0.9","598.1","1.8","88.0","1855539","23.1","50.3","3419","51881","52959","88.5","43003","480641","4171","1120","2442","29","3968","322","3572"
"Darlington County","SC","19.5","22.0","5.8","18.4","82.4","3702","0.4","0.5","41.7","2.2","0.1","1.3","56.0","54.5","69.6","26484","31013","92600","2.48","38448","23027","1.7","561.15","2.1","90.6","1693027","22.4","52.9","4510","62905","68681","122.4","53231","536618","4492","1833","2368","1543","2799","611","3694"
